fid,id,location_srs,location_x,location_y,operator,elevation,slope,aspect,actively_saved,actively_saved_on_year,actively_saved_on_month,actively_saved_on_day,plot_file,lc,lc_label,quality,quality_label,X,Y,_mean,_Xmean,_Ymean,_coastalmean,_bluemean,_greenmean,_redmean,_NIRmean,_SWIR1mean,_SWIR2mean,_NDVImean,_IPVImean,_GRVImean
"15","14",EPSG:4326,31.0775652398193,51.1311348573011,Matsala,"0","0","0",true,"2019","5","25",Points.csv,shrubs,shrubs,2010-2011,2010-2011,365489.46959655,5666164.99623091,30.5,365490,5666160,30.5,26.75,24.25,51.5,54.25,202,35.75,0.512413650751114,0.0248273042961955,-0.359594441950321
"16","15",EPSG:4326,31.1868498336664,51.1360846206712,Matsala,"0","0","0",true,"2019","5","25",Points.csv,crops,crops,2010-2011,2010-2011,373148.995049603,5666521.25049601,35,373155,5666520,35,34,31,91.5,64,202.5,40.5,0.411475136876106,-0.177049726247787,-0.493869125843048
"17","16",EPSG:4326,30.9004364184667,51.0554992140704,Matsala,"0","0","0",true,"2019","5","25",Points.csv,grassland,grassland,2010-2011,2010-2011,352857.175888099,5658093.8685802,26.5,352860,5658090,26.5,25.25,18.25,92.75,48.75,197.5,22.5,0.345049053430557,-0.309901878237724,-0.670282110571861
"18","17",EPSG:4326,30.8765388951433,50.9286651801461,Matsala,"0","0","0",true,"2019","5","25",Points.csv,forest,forest,later,later,350776.215462041,5644039.48989865,27.5,350775,5644050,27.5,24.5,19,87,52,198.5,26.5,0.373809024691582,-0.252381935715675,-0.641655564308167
"19","18",EPSG:4326,30.8845182998298,51.1554868133637,Matsala,"0","0","0",true,"2019","5","25",Points.csv,forest,forest,2010-2011,2010-2011,352061.326670584,5669243.39766412,24.5,352065,5669250,24.5,19,15,49.5,25.5,196,11.5,0.33997155725956,-0.320056885480881,-0.534855782985687
"20","19",EPSG:4326,31.197397181379,51.064546969099,Matsala,"0","0","0",true,"2019","5","25",Points.csv,crops,crops,2010-2011,2010-2011,373692.023770781,5658548.55081766,39,373695,5658540,39,38.5,34.5,90.5,67.5,203,44.5,0.42708332836628,-0.14583333581686,-0.44815668463707
"21","20",EPSG:4326,31.0572461170231,50.906382505549,Matsala,"0","0","0",true,"2019","5","25",Points.csv,crops,crops,2010-2011,2010-2011,363408.928239588,5641211.93835126,29,363420,5641215,29,28.5,24,81.5,58,200,35,0.415775954723358,-0.168448098003864,-0.545103341341019
"22","21",EPSG:4326,31.0061827711118,51.0737858594746,Matsala,"0","0","0",true,"2019","5","25",Points.csv,crops,crops,2010-2011,2010-2011,360322.570954503,5659921.21135404,29.6666666666667,360325,5659925,29.6666666666667,27.6666666666667,27,56.3333333333333,71,203.666666666667,49.3333333333333,0.557714700698853,0.115429396430651,-0.351537177960078
"23","22",EPSG:4326,30.9349011546692,51.0928395239313,Matsala,"0","0","0",true,"2019","5","25",Points.csv,grassland,grassland,2010-2011,2010-2011,355388.801131835,5662177.44149409,27,355385,5662175,27,24.6666666666667,18.3333333333333,97.6666666666667,46.3333333333333,198,22,0.321607698996862,-0.356784602006276,-0.683846513430277
"24","23",EPSG:4326,31.206889841014,51.0327496332135,Matsala,"0","0","0",true,"2019","5","25",Points.csv,crops,crops,2010-2011,2010-2011,374271.04775176,5654996.65974846,30.6666666666667,374275,5654995,30.6666666666667,27.6666666666667,22.3333333333333,82.6666666666667,60.6666666666667,200,30.3333333333333,0.423271169265111,-0.153457656502724,-0.574577848116557
"25","24",EPSG:4326,30.7664741640845,51.1637011541432,Matsala,"0","0","0",true,"2019","5","25",Points.csv,shrubs,shrubs,later,later,343834.942544137,5670400.8435045,25.5,343830,5670405,25.5,24,17,90.5,46,197.5,20,0.336974009871483,-0.326051950454712,-0.683714091777802
"26","25",EPSG:4326,30.9538747790945,50.9689138676616,Matsala,"0","0","0",true,"2019","5","25",Points.csv,crops,crops,2010-2011,2010-2011,356334.58680387,5648361.09073328,28,356335,5648365,28,25,22,52.3333333333333,53,205,33.3333333333333,0.503175447384516,0.00635091805209716,-0.408245613177617
"27","26",EPSG:4326,31.1571692618898,50.9868824375262,Matsala,"0","0","0",true,"2019","5","25",Points.csv,crops,crops,2010-2011,2010-2011,370657.455243964,5649982.62260526,35.3333333333333,370655,5649985,35.3333333333333,35.3333333333333,30,86,65.6666666666667,202,39,0.432945221662521,-0.134109569092592,-0.482832084099452
"28","27",EPSG:4326,31.2006221335975,51.106577606644,Matsala,"0","0","0",true,"2019","5","25",Points.csv,crops,crops,2010-2011,2010-2011,374032.219540997,5663216.57460186,37.6666666666667,374035,5663215,37.6666666666667,36,35,83,74,202.333333333333,52.6666666666667,0.471410363912582,-0.057179265966018,-0.407008538643519
"29","28",EPSG:4326,30.9756793676075,51.1243804302005,Matsala,"0","0","0",true,"2019","5","25",Points.csv,forest,forest,2010-2011,2010-2011,358340.578253988,5665605.18710038,30,358350,5665605,30,23,17,75,37,196,15,0.330383479595184,-0.339233040809631,-0.630391120910645
"30","29",EPSG:4326,30.7627556142835,50.9866133469296,Matsala,"0","0","0",true,"2019","5","25",Points.csv,forest,forest,2010-2011,2010-2011,342976.535949344,5650718.81041178,26,342975,5650710,26,21,15.5,50,26.5,199.5,12,0.346410259604454,-0.307179495692253,-0.526573449373245
"31","30",EPSG:4326,30.9026572095788,51.2043116224843,Matsala,"0","0","0",true,"2019","5","25",Points.csv,forest,forest,2010-2011,2010-2011,353484.587384606,5674635.95868544,25.5,353490,5674635,25.5,19.5,15,47,27.5,198,13.5,0.369189202785492,-0.261621624231339,-0.516003131866455
"32","31",EPSG:4326,30.74050768774,51.1597210082156,Matsala,"0","0","0",true,"2019","5","25",Points.csv,shrubs,shrubs,later,later,342006.000646718,5670013.76888355,26,342000,5670015,26,22,17.5,75.5,41.5,197,17,0.354877606034279,-0.290244802832603,-0.62325045466423
"33","32",EPSG:4326,30.9339983473174,50.9886473644878,Matsala,"0","0","0",true,"2019","5","25",Points.csv,forest,forest,2010-2011,2010-2011,355000.613056329,5650594.14393167,25.5,355005,5650590,25.5,20,14,78.5,34,197,13.5,0.302075073122978,-0.395849823951721,-0.696863293647766
"34","33",EPSG:4326,30.8306475608143,50.9349401026265,Matsala,"0","0","0",true,"2019","5","25",Points.csv,grassland,grassland,later,later,347572.086246106,5644831.00389946,29,347575,5644835,29,25.3333333333333,21,64.6666666666667,54,200.666666666667,28,0.455063382784526,-0.0898732393980026,-0.509896775086721
"35","34",EPSG:4326,31.0248999741856,51.1392017643342,Matsala,"0","0","0",true,"2019","5","25",Points.csv,crops,crops,2010-2011,2010-2011,361828.932216545,5667159.58693298,31,361830,5667165,31,26,21,64,49,200.5,27.5,0.433764204382896,-0.132471602410078,-0.505537107586861
"36","35",EPSG:4326,30.9593421169421,51.0393206819993,Matsala,"0","0","0",true,"2019","5","25",Points.csv,grassland,grassland,2010-2011,2010-2011,356935.22261296,5656178.93183329,28.6666666666667,356935,5656175,28.6666666666667,26,21.6666666666667,81,49.3333333333333,198.666666666667,25.3333333333333,0.37847978870074,-0.243040427565575,-0.577965676784515
"37","36",EPSG:4326,30.9317779001325,50.9176240581178,Matsala,"0","0","0",true,"2019","5","25",Points.csv,crops,crops,later,later,354623.30673131,5642701.57579211,33.3333333333333,354625,5642705,33.3333333333333,33.3333333333333,35,82.6666666666667,66.6666666666667,199,42.3333333333333,0.446439663569133,-0.107120677828789,-0.405061175425847
"38","37",EPSG:4326,31.1818251463342,51.004340729851,Matsala,"0","0","0",true,"2019","5","25",Points.csv,crops,crops,2010-2011,2010-2011,372435.740240161,5651880.87698595,29.5,372435,5651880,29.5,27.5,21.5,78,57.5,202,29,0.424447104334831,-0.151105791330338,-0.567589402198792
"39","38",EPSG:4326,30.9691814148441,51.134764733377,Matsala,"0","0","0",true,"2019","5","25",Points.csv,grassland,grassland,2010-2011,2010-2011,357917.776762045,5666772.36459376,26.1703041828749,357918.25417587,5666771.91033265,26.1703041828749,23.1854920658912,18.0233633626888,69.0339126325027,46.8216747923743,200.986889357293,25.5524353327261,0.404131463777904,-0.191737084516751,-0.585883073086553
"40","39",EPSG:4326,30.8586055260159,50.9748047103851,Matsala,"0","0","0",true,"2019","5","25",Points.csv,grassland,grassland,2010-2011,2010-2011,349665.062062628,5649206.02833201,27.5,349665,5649210,27.5,24.5,18.5,81.5,50.5,197,25,0.382515072822571,-0.234969854354858,-0.630052030086517
"41","40",EPSG:4326,30.9798200621674,50.9133793462612,Matsala,"0","0","0",true,"2019","5","25",Points.csv,crops,crops,later,later,357987.010203309,5642136.06002646,26.3333333333333,357985,5642135,26.3333333333333,24,19.3333333333333,69,48.3333333333333,202.333333333333,24.6666666666667,0.411877393722534,-0.176245212554932,-0.562318603197734
"42","41",EPSG:4326,31.013617456591,50.9902446302765,Matsala,"0","0","0",true,"2019","5","25",Points.csv,crops,crops,2010-2011,2010-2011,360592.880789529,5650618.14441005,31.3333333333333,360595,5650615,31.3333333333333,30.6666666666667,34.6666666666667,70.6666666666667,72,198.666666666667,50.3333333333333,0.504694819450378,0.00938967118660609,-0.341760526100794
"43","42",EPSG:4326,30.8737597998794,51.0585869534196,Matsala,"0","0","0",true,"2019","5","25",Points.csv,grassland,grassland,2010-2011,2010-2011,350997.702039691,5658490.83173743,28,351000,5658495,28,25.5,20,91,53.5,199,25,0.370053663849831,-0.259892694652081,-0.639639616012573
"44","43",EPSG:4326,31.1085096139543,51.0263235212518,Matsala,"0","0","0",true,"2019","5","25",Points.csv,crops,crops,2010-2011,2010-2011,367355.004292699,5654454.63186121,27,367355,5654455,27,24,21,66.3333333333333,56.6666666666667,204,32.3333333333333,0.460854887962341,-0.078290231525898,-0.51854732632637
"45","44",EPSG:4326,31.0258311450674,51.0675665340616,Matsala,"0","0","0",true,"2019","5","25",Points.csv,grassland,grassland,2010-2011,2010-2011,361680.385333834,5659192.5847123,25.6666666666667,361685,5659195,25.6666666666667,25,17.6666666666667,100.333333333333,52,198.666666666667,22,0.341641128063202,-0.316717763741811,-0.699653724829356
"46","45",EPSG:4326,31.1880498682351,51.1699412813158,Matsala,"0","0","0",true,"2019","5","25",Points.csv,crops,crops,2010-2011,2010-2011,373325.700481942,5670283.86977236,33.5,373320,5670285,33.5,35,34,78,74.5,202,53,0.488540589809418,-0.0229188175871968,-0.392857149243355
"47","46",EPSG:4326,31.0617193558404,51.0379438752445,Matsala,"0","0","0",true,"2019","5","25",Points.csv,crops,crops,2010-2011,2010-2011,364107.987808681,5655831.99374094,28.3333333333333,364105,5655835,28.3333333333333,24.6666666666667,23,51.6666666666667,60,206,38.6666666666667,0.537379324436188,0.0747586476306121,-0.383138527472814
"48","47",EPSG:4326,30.8987245500684,51.0646787062418,Matsala,"0","0","0",true,"2019","5","25",Points.csv,grassland,grassland,2010-2011,2010-2011,352766.34283177,5659117.95153372,27.3333333333333,352765,5659115,27.3333333333333,25,18,89.6666666666667,51.6666666666667,197.333333333333,22,0.366245180368423,-0.267509644230207,-0.664618968963623
"49","48",EPSG:4326,31.0365966982924,51.0320649144372,Matsala,"0","0","0",true,"2019","5","25",Points.csv,crops,crops,2010-2011,2010-2011,362329.368214068,5655224.95274981,31.5,362340,5655225,31.5,28.5,24.5,54,52.5,204,31,0.492898732423782,-0.0142025407403708,-0.375689715147018
"50","49",EPSG:4326,31.0751210717066,51.0603929121638,Matsala,"0","0","0",true,"2019","5","25",Points.csv,shrubs,shrubs,2010-2011,2010-2011,365112.743005025,5658303.50101466,27,365115,5658300,27,25,19.5,75.5,53.5,202,26,0.414728671312332,-0.170542635023594,-0.589473694562912
"51","50",EPSG:4326,30.9101453907279,51.1534864514364,Matsala,"0","0","0",true,"2019","5","25",Points.csv,crops,crops,2010-2011,2010-2011,353846.974527524,5668969.73309062,27,353850,5668965,27,25,23,64,54,201.5,31,0.457659989595413,-0.0846800282597542,-0.471194505691528
"52","51",EPSG:4326,31.0733213955999,50.9734348608877,Matsala,"0","0","0",true,"2019","5","25",Points.csv,crops,crops,2010-2011,2010-2011,364733.804578138,5648637.84280073,30.3333333333333,364735,5648635,30.3333333333333,27,25.6666666666667,60.6666666666667,65.6666666666667,203,42,0.519749025503794,0.0394980162382126,-0.405417442321777
"53","52",EPSG:4326,31.0471473144431,50.9394115688052,Matsala,"0","0","0",true,"2019","5","25",Points.csv,grassland,grassland,2010-2011,2010-2011,362796.166092314,5644903.14934718,28.5,362790,5644905,28.5,28,22,82,55,199.5,28.5,0.401459857821465,-0.197080291807652,-0.576883971691132
"54","53",EPSG:4326,30.8181608515913,51.1582019817006,Matsala,"0","0","0",true,"2019","5","25",Points.csv,forest,forest,later,later,347430.283197555,5669680.88446981,24.5,347430,5669685,24.5,20,15,50,30.5,197.5,15,0.378858029842377,-0.242283947765827,-0.538461565971375
"55","54",EPSG:4326,30.886645263209,51.086624788021,Matsala,"0","0","0",true,"2019","5","25",Points.csv,crops,crops,2010-2011,2010-2011,351990.097147386,5661582.34512462,28,351990,5661585,28,26,21,82,55,199,30.5,0.401652440428734,-0.196695096790791,-0.591886788606644
"56","55",EPSG:4326,31.0648832482424,51.2304169803068,Matsala,"0","0","0",true,"2019","5","25",Points.csv,grassland,grassland,2010-2011,2010-2011,364892.806224948,5677227.807344,28,364890,5677230,28,26,19.75,81.5,53.25,200,25,0.395236991345882,-0.209526017308235,-0.60960453748703
"57","56",EPSG:4326,31.070918612498,51.1214122203286,Matsala,"0","0","0",true,"2019","5","25",Points.csv,crops,crops,2010-2011,2010-2011,364996.101470004,5665096.08201222,29.8400678539518,364996.294909576,5665096.27206056,29.8400678539518,25.8264656748242,23.321044934544,48.9844987633308,58.5663498284642,202.826198377712,38.0115636139794,0.544906588137611,0.0898131535322469,-0.353507394694863
"58","57",EPSG:4326,30.8938475148101,51.193456560103,Matsala,"0","0","0",true,"2019","5","25",Points.csv,forest,forest,2010-2011,2010-2011,352834.629338418,5673446.56904265,25.75,352830,5673450,25.75,20,14.75,62.25,27.75,198,12,0.308242484927177,-0.383515037596226,-0.616316854953766
"59","58",EPSG:4326,30.9898845910874,51.0976589954396,Matsala,"0","0","0",true,"2019","5","25",Points.csv,crops,crops,2010-2011,2010-2011,359253.386266518,5662606.73637739,29,359250,5662605,29,26.5,25.5,56.5,63,206,41,0.527205884456635,0.0544117651879787,-0.378105014562607
"60","59",EPSG:4326,31.013244112449,51.1238538574139,Matsala,"0","0","0",true,"2019","5","25",Points.csv,forest,forest,2010-2011,2010-2011,360967.50586907,5665474.97916502,31.6666666666667,360965,5665475,31.6666666666667,26.3333333333333,22,96,47,194.666666666667,23,0.32862576842308,-0.342748443285624,-0.62797349691391
"61","60",EPSG:4326,30.9327398628093,51.1880106607517,Matsala,"0","0","0",true,"2019","5","25",Points.csv,crops,crops,2010-2011,2010-2011,355534.907646162,5672763.8751683,29.6666666666667,355535,5672765,29.6666666666667,27.6666666666667,25.6666666666667,73.3333333333333,61.3333333333333,202.666666666667,39.6666666666667,0.455432067314784,-0.0891358827551206,-0.481640080610911
"62","61",EPSG:4326,30.8737396589207,51.211566555122,Matsala,"0","0","0",true,"2019","5","25",Points.csv,forest,forest,2010-2011,2010-2011,351488.016823228,5675500.6958081,25.3333333333333,351485,5675495,25.3333333333333,21,15,85,41,196,16.3333333333333,0.325439771016439,-0.3491204281648,-0.699679474035899
"63","62",EPSG:4326,30.8090400155281,51.0242298485217,Matsala,"0","0","0",true,"2019","5","25",Points.csv,forest,forest,later,later,346349.090046458,5654803.69854642,26.5,346350,5654805,26.5,21.5,17,45.5,26.5,198,14,0.368223041296005,-0.263553932309151,-0.455709159374237
"64","63",EPSG:4326,30.9568085980726,51.2032170745609,Matsala,"0","0","0",true,"2019","5","25",Points.csv,grassland,grassland,2010-2011,2010-2011,357263.743319289,5674407.68458153,25.6666666666667,357265,5674405,25.6666666666667,23.6666666666667,18.6666666666667,78.6666666666667,54.3333333333333,202,26,0.408703734477361,-0.182592511177063,-0.616287608941396
"65","64",EPSG:4326,31.1011067499112,50.9796783464457,Matsala,"0","0","0",true,"2019","5","25",Points.csv,crops,crops,2010-2011,2010-2011,366702.261655109,5649281.45380168,29,366705,5649270,29,26.5,24.5,54.5,59.5,203,38,0.521859616041183,0.0437192134559155,-0.379807695746422
"66","65",EPSG:4326,30.8946749915218,50.9886614001248,Matsala,"0","0","0",true,"2019","5","25",Points.csv,grassland,grassland,2010-2011,2010-2011,352241.058436331,5650673.79408889,28,352245,5650680,28,23.5,19,78,52,200,29,0.399905323982239,-0.200189359486103,-0.608247399330139
"67","66",EPSG:4326,30.9706195828003,51.0289871984876,Matsala,"0","0","0",true,"2019","5","25",Points.csv,forest,forest,2010-2011,2010-2011,357694.129461392,5655008.11002969,26,357695,5655005,26,21.3333333333333,17.6666666666667,70.6666666666667,46.3333333333333,198.666666666667,21.6666666666667,0.395490854978561,-0.20901828010877,-0.598007102807363
"68","67",EPSG:4326,30.8384315557359,51.2103025222844,Matsala,"0","0","0",true,"2019","5","25",Points.csv,forest,forest,2010-2011,2010-2011,349017.981063525,5675432.10179152,25,349020,5675430,25,20.25,15.25,68.25,31.75,198,13.5,0.317396521568298,-0.365206956863403,-0.634685441851616
"69","68",EPSG:4326,31.0199388696647,51.2047861226681,Matsala,"0","0","0",true,"2019","5","25",Points.csv,water,water,2010-2011,2010-2011,361678.309238829,5674461.43378744,26,361680,5674455,26,20,15,13.5,3.5,193,2.5,0.204861111938953,-0.590277791023254,0.0529556665569544
"70","69",EPSG:4326,30.9245417960196,50.9650681863445,Matsala,"0","0","0",true,"2019","5","25",Points.csv,crops,crops,2010-2011,2010-2011,354263.165843235,5647991.06035684,29.5,354270,5647995,29.5,27.5,25,64.5,58.5,203,38.5,0.476302683353424,-0.047394622117281,-0.441161677241325
"71","306",EPSG:4326,30.8313474572949,51.166077412427,Matsala,"0","0","0",true,"2019","5","25",Points.csv,forest,forest,later,later,348378.119680367,5670529.27581751,24.5,348375,5670540,24.5,20.5,14,77.5,40,198,16,0.339090913534164,-0.321818187832832,-0.694377988576889
"72","70",EPSG:4326,30.8308692385958,51.1657414076419,Matsala,"0","0","0",true,"2019","5","25",Points.csv,shrubs,shrubs,later,later,348343.586002043,5670492.9017228,26.0674333476052,348343.33830387,5670492.53701058,26.0674333476052,23.665201572967,19.3125270335489,78.2024005936026,51.4667890022653,198.027311815483,23.6410861857552,0.396932089998499,-0.206135819820746,-0.603520214814263
"73","71",EPSG:4326,31.1680592784431,50.95031737573,Matsala,"0","0","0",true,"2019","5","25",Points.csv,crops,crops,2010-2011,2010-2011,371320.722801213,5645897.84949285,31,371310,5645895,31,28.5,26,78,71.5,202,42.5,0.478255033493042,-0.043489933013916,-0.5
"74","72",EPSG:4326,31.0832737910478,51.0967488778924,Matsala,"0","0","0",true,"2019","5","25",Points.csv,forest,forest,2010-2011,2010-2011,365789.258855189,5662331.10010692,35,365790,5662335,35,29,23,62,36,197,16.5,0.367291674017906,-0.265416666865349,-0.45981153845787
"75","73",EPSG:4326,31.0037119259935,51.2160415189,Matsala,"0","0","0",true,"2019","5","25",Points.csv,grassland,grassland,2010-2011,2010-2011,360578.839019949,5675743.62589441,26.5,360570,5675745,26.5,22,17.5,67,44,200.5,21.5,0.396396398544312,-0.207207202911377,-0.585854351520538
"76","74",EPSG:4326,30.9130973968942,50.9143947102437,Matsala,"0","0","0",true,"2019","5","25",Points.csv,crops,crops,later,later,353300.203931234,5642379.48536384,30.6666666666667,353305,5642375,30.6666666666667,27.6666666666667,24.6666666666667,75,58.6666666666667,200,34,0.438853710889816,-0.122292578220367,-0.505050500233968
"77","75",EPSG:4326,30.7776802740518,51.0309621320263,Matsala,"0","0","0",true,"2019","5","25",Points.csv,shrubs,shrubs,later,later,344172.658730225,5655618.11264765,27,344175,5655630,27,22,17,83.5,43.5,196,20,0.342509925365448,-0.314980164170265,-0.661683171987534
"78","76",EPSG:4326,31.1825532062334,51.0003446659521,Matsala,"0","0","0",true,"2019","5","25",Points.csv,crops,crops,2010-2011,2010-2011,372475.860375992,5651435.28584086,28.3333333333333,372475,5651435,28.3333333333333,25.6666666666667,22,77.6666666666667,56,202,30,0.418804834286372,-0.162390331427256,-0.559316496054331
"79","77",EPSG:4326,30.8797838469222,51.1005351389055,Matsala,"0","0","0",true,"2019","5","25",Points.csv,shrubs,shrubs,2010-2011,2010-2011,351554.159224243,5663142.84973176,25.8024816530164,351554.011327685,5663142.47625231,25.8024816530164,22.4715812995053,17.905417031699,64.2331550704732,44.6719448148112,200.80903408473,24.5906490149525,0.410366568958021,-0.179266864406763,-0.563214146982297
"80","78",EPSG:4326,30.8994979281039,50.951897022637,Matsala,"0","0","0",true,"2019","5","25",Points.csv,crops,crops,later,later,352463.05101812,5646576.38703508,28.6666666666667,352465,5646575,28.6666666666667,26,21,78.3333333333333,53,203,34.3333333333333,0.403767247994741,-0.192465528845787,-0.576694150765737
"81","79",EPSG:4326,30.8433916681806,51.2175151320164,Matsala,"0","0","0",true,"2019","5","25",Points.csv,shrubs,shrubs,2010-2011,2010-2011,349387.942775841,5676223.898877,26,349380,5676225,26,23,18.5,73,47,200.5,22,0.391636565327644,-0.216726869344711,-0.595698922872543
"82","80",EPSG:4326,30.9866796378018,51.1559783722527,Matsala,"0","0","0",true,"2019","5","25",Points.csv,grassland,grassland,2010-2011,2010-2011,359206.471240669,5669097.49969962,26.5,359205,5669100,26.5,24.5,19,79.5,48.5,202,25,0.378898859024048,-0.242202281951904,-0.614306330680847
"83","81",EPSG:4326,31.0341821897728,51.1586885815419,Matsala,"0","0","0",true,"2019","5","25",Points.csv,settlement,settlement,2010-2011,2010-2011,362536.148610048,5669308.98478405,28.5,362535,5669310,28.5,25,21,68.5,47,195,28.5,0.408219277858734,-0.183561436831951,-0.527284100651741
"84","82",EPSG:4326,30.9301691644875,51.0249690155545,Matsala,"0","0","0",true,"2019","5","25",Points.csv,crops,crops,2010-2011,2010-2011,354845.333247393,5654640.24612645,29.25,354840,5654640,29.25,25.5,23.25,57,57.5,207,37,0.50225018709898,0.00450038141570985,-0.420148313045502
"85","83",EPSG:4326,30.9518788607122,51.1619079451735,Matsala,"0","0","0",true,"2019","5","25",Points.csv,grassland,grassland,2010-2011,2010-2011,356791.401170372,5669824.02182234,30.25,356790,5669820,30.25,28,22,92.75,53.75,198.75,26,0.366896077990532,-0.266207847744226,-0.616456240415573
"86","84",EPSG:4326,31.0447096199263,50.9582065148868,Matsala,"0","0","0",true,"2019","5","25",Points.csv,crops,crops,2010-2011,2010-2011,362680.317024108,5646997.48683211,29.6666666666667,362675,5646995,29.6666666666667,27,24.3333333333333,60.6666666666667,59.6666666666667,202,37.6666666666667,0.495890349149704,-0.00821930139015118,-0.427422742048899
"87","85",EPSG:4326,30.9873848002493,50.9612008085805,Matsala,"0","0","0",true,"2019","5","25",Points.csv,crops,crops,2010-2011,2010-2011,358663.828608346,5647438.72607342,29.5,358665,5647440,29.5,27,22,53,52.5,205,32.5,0.497663557529449,-0.00467289704829454,-0.413229018449783
